MP,G|R,AverageProfit,Occurences,Pattern,Type
0.008604,1.833333,0.004693,34,7|3|3|0|1|6,one white soldier
0.008600,1.538462,0.005590,33,8|4|4|2|3|6,one white soldier
0.008599,1.235294,0.006961,38,5|3|3|2|0|7,bullish engulfing
0.008599,1.333333,0.006449,35,7|6|5|0|2|2,bullish harami
0.008596,1.500000,0.005731,30,3|4|4|3|3|7,one white soldier
0.008589,1.923077,0.004466,38,10|3|3|0|0|2,bullish harami
0.008579,1.333333,0.006435,49,5|4|4|0|0|5,bullish engulfing
0.008574,1.600000,0.005359,39,7|5|4|2|3|7,one white soldier
0.008572,2.100000,0.004082,31,3|4|4|1|1|4,bullish harami
0.008568,1.769231,0.004843,36,0|3|5|5|4|8,bullish engulfing
0.008568,1.470588,0.005826,42,6|5|4|3|2|7,bullish engulfing
0.008565,1.440000,0.005948,61,6|3|3|2|1|3,bullish engulfing
0.008560,1.066667,0.008025,31,1|1|1|1|1|4,bullish engulfing
0.008557,1.533333,0.005581,38,3|5|5|5|4|6,bullish engulfing
0.008553,1.214286,0.007044,31,0|4|3|1|2|8,one white soldier
0.008552,1.266667,0.006751,34,7|6|4|2|3|4,bullish harami
0.008545,1.533333,0.005573,38,9|9|9|1|2|3,bullish harami
0.008544,1.571429,0.005437,36,0|3|3|2|0|7,bullish engulfing
0.008533,1.578947,0.005404,49,5|5|5|2|3|5,bullish harami
0.008530,1.136364,0.007506,47,1|1|1|0|1|5,one white soldier
0.008526,1.137931,0.007492,62,3|4|4|1|0|5,bullish engulfing
0.008521,1.307692,0.006516,30,4|4|5|3|4|10,one white soldier
0.008511,1.500000,0.005674,30,2|5|4|3|2|6,bullish engulfing
0.008508,1.166667,0.007293,39,2|5|5|0|1|4,bullish harami
0.008505,1.111111,0.007655,38,8|4|2|1|0|4,bullish engulfing
0.008490,2.100000,0.004043,31,2|4|5|5|4|6,bullish engulfing
0.008489,1.583333,0.005361,31,6|5|4|0|2|4,one white soldier
0.008486,1.730769,0.004903,71,8|2|3|1|1|2,bullish harami
0.008479,1.666667,0.005088,32,0|5|5|4|2|8,bullish engulfing
0.008479,1.350000,0.006281,47,9|8|7|0|1|3,bullish harami
0.008466,1.666667,0.005080,48,4|3|3|1|2|6,one white soldier
0.008465,2.000000,0.004232,39,7|5|4|2|2|5,one white soldier
0.008463,1.166667,0.007254,52,9|7|6|1|2|2,bullish harami
0.008462,1.156250,0.007319,69,0|1|1|1|0|7,bullish engulfing
0.008455,1.500000,0.005637,30,2|5|5|3|2|6,bullish engulfing
0.008450,1.562500,0.005408,41,2|3|4|2|1|7,bullish engulfing
0.008443,1.285714,0.006566,32,3|2|4|2|3|4,one white soldier
0.008442,1.384615,0.006097,31,6|6|4|0|2|2,bullish harami
0.008440,1.192308,0.007078,57,10|7|7|2|3|6,bullish harami
0.008437,1.157895,0.007286,41,7|4|2|0|1|2,one white soldier
0.008436,1.166667,0.007231,52,6|6|6|3|4|5,bullish harami
0.008431,1.700000,0.004960,54,9|7|7|3|4|6,bullish harami
0.008430,2.000000,0.004215,45,8|5|5|4|4|6,one white soldier
0.008422,1.391304,0.006053,55,7|5|4|2|3|5,one white soldier
0.008420,1.083333,0.007773,50,2|1|1|0|1|6,one white soldier
0.008418,1.210526,0.006954,42,5|7|7|1|2|5,bullish harami
0.008415,1.538462,0.005470,33,0|2|4|3|2|9,bullish engulfing
0.008410,1.357143,0.006197,33,0|7|8|4|5|6,bullish harami
0.008406,1.250000,0.006725,36,1|5|6|3|4|5,bullish harami
0.008404,1.555556,0.005403,46,6|7|7|1|2|3,bullish harami
0.008400,1.588235,0.005289,44,0|2|1|0|0|6,one white soldier
0.008385,1.352941,0.006198,40,6|3|2|2|1|4,bullish engulfing
0.008379,1.300000,0.006445,46,3|3|4|2|3|6,one white soldier
0.008377,1.944444,0.004308,53,3|2|2|0|0|7,bullish engulfing
0.008370,1.285714,0.006510,32,4|5|5|2|3|9,one white soldier
0.008368,1.333333,0.006276,35,8|6|7|2|2|3,bullish harami
0.008366,1.400000,0.005976,36,7|5|3|1|2|4,one white soldier
0.008358,1.500000,0.005572,45,3|3|2|0|0|3,one white soldier
0.008353,1.473684,0.005668,47,2|5|5|2|3|6,one white soldier
0.008349,1.411765,0.005914,41,9|4|3|1|1|4,one white soldier
0.008342,1.437500,0.005803,78,2|3|2|0|1|7,one white soldier
0.008341,1.111111,0.007507,38,5|5|4|2|0|5,bullish engulfing
0.008340,1.148148,0.007264,58,7|1|2|0|1|4,one white soldier
0.008340,1.526316,0.005464,48,2|4|4|1|1|5,one white soldier
0.008336,1.846154,0.004515,37,3|1|1|0|0|2,one white soldier
0.008327,1.066667,0.007807,31,7|6|6|3|3|7,bullish engulfing
0.008322,1.380952,0.006026,50,2|2|3|1|2|7,one white soldier
0.008316,1.533333,0.005423,38,7|2|3|2|2|3,bullish harami
0.008298,1.750000,0.004742,33,1|5|5|3|3|5,bullish engulfing
0.008296,1.772727,0.004680,61,2|4|4|2|2|5,bullish engulfing
0.008288,1.142857,0.007252,30,0|2|3|1|0|4,bullish engulfing
0.008283,1.400000,0.005917,36,4|5|5|0|1|7,one white soldier
0.008283,1.263158,0.006557,86,6|1|1|0|0|3,bullish engulfing
0.008258,1.500000,0.005505,30,1|4|3|1|0|5,bullish engulfing
0.008253,1.210526,0.006817,42,4|3|4|3|3|4,one white soldier
0.008242,1.321429,0.006237,65,10|7|7|1|2|4,bullish harami
0.008230,1.142857,0.007201,45,6|5|5|3|3|6,bullish engulfing
0.008222,1.352941,0.006077,40,6|5|5|2|3|8,one white soldier
0.008221,1.538462,0.005344,33,6|3|4|3|2|6,bullish engulfing
0.008218,1.117647,0.007353,36,0|2|2|1|2|10,one white soldier
0.008208,1.266667,0.006480,34,9|4|3|2|2|5,one white soldier
0.008206,1.074074,0.007640,56,1|4|4|2|3|7,one white soldier
0.008203,1.000000,0.008203,70,7|4|4|2|2|4,bullish engulfing
0.008196,1.625000,0.005043,42,1|5|4|3|3|7,one white soldier
0.008190,1.280000,0.006399,57,2|5|4|2|3|5,one white soldier
0.008187,1.466667,0.005582,37,5|5|6|0|1|5,bullish harami
0.008185,1.294118,0.006325,39,4|6|6|0|2|3,bullish harami
0.008183,1.733333,0.004721,41,3|4|5|0|1|4,bullish harami
0.008175,1.520000,0.005378,63,1|3|3|3|3|7,one white soldier
0.008170,1.476190,0.005535,52,4|3|4|1|3|6,one white soldier
0.008169,1.533333,0.005327,38,0|1|3|3|3|6,one white soldier
0.008167,1.375000,0.005939,38,3|4|5|3|4|5,one white soldier
0.008158,1.500000,0.005439,40,4|5|5|1|2|5,bullish harami
0.008150,1.200000,0.006792,33,2|4|4|2|3|5,one white soldier
0.008149,1.476190,0.005520,52,1|3|3|3|2|6,bullish engulfing
0.008148,1.382353,0.005895,81,8|4|5|0|1|3,bullish harami
0.008147,1.125000,0.007242,34,1|3|4|1|2|3,bullish harami
0.008134,1.600000,0.005084,39,3|4|5|1|2|3,bullish harami
0.008134,1.846154,0.004406,37,2|2|2|1|1|9,bullish engulfing
0.008129,1.357143,0.005990,33,7|7|7|1|1|4,bullish harami
0.008122,1.133333,0.007166,32,6|5|5|0|2|6,one white soldier
0.008117,1.333333,0.006088,49,5|4|4|1|1|1,bullish harami
0.008108,1.428571,0.005676,34,5|6|6|1|3|4,bullish harami
0.008106,1.058824,0.007656,70,8|4|3|0|1|5,one white soldier
0.008103,1.074074,0.007545,56,0|5|6|4|4|7,bullish engulfing
0.008094,1.000000,0.008094,42,2|1|2|2|2|6,one white soldier
0.008092,1.818182,0.004450,31,5|4|3|0|1|2,bullish harami
0.008091,1.384615,0.005843,31,6|6|6|1|2|7,one white soldier
0.008086,1.125000,0.007188,34,3|4|4|1|3|9,one white soldier
0.008085,1.322581,0.006113,72,1|4|5|4|3|7,bullish engulfing
0.008081,1.307692,0.006179,30,4|7|7|3|4|6,bullish harami
0.008079,2.000000,0.004040,36,5|6|6|1|1|1,bullish harami
0.008074,1.333333,0.006055,35,6|5|5|1|2|5,bullish harami
0.008071,1.461538,0.005522,32,2|5|5|4|4|6,one white soldier
0.008065,1.454545,0.005545,135,0|5|5|3|4|6,one white soldier
0.008065,1.625000,0.004963,42,5|6|5|2|3|3,bullish harami
0.008062,1.500000,0.005375,30,1|4|4|2|1|8,bullish engulfing
0.008061,1.240000,0.006501,56,4|5|3|0|1|2,bullish harami
0.008061,1.200000,0.006718,33,5|3|2|2|1|2,bullish engulfing
0.008054,1.500000,0.005369,30,5|3|3|1|1|4,one white soldier
0.008051,1.476190,0.005454,52,4|1|2|1|1|6,bullish engulfing
0.008050,1.142857,0.007043,30,1|1|3|2|2|6,bullish engulfing
0.008046,1.681818,0.004784,59,1|3|4|3|3|8,one white soldier
0.008044,1.384615,0.005810,31,6|5|5|1|2|8,one white soldier
0.008041,1.166667,0.006893,39,6|6|6|0|2|5,bullish harami
0.008030,2.363636,0.003397,37,4|2|1|0|1|3,one white soldier
0.008029,1.650000,0.004866,53,3|5|4|0|0|1,bullish harami
0.008014,1.466667,0.005464,37,5|4|4|1|1|6,bullish engulfing
0.008007,1.160000,0.006903,54,4|1|1|0|0|2,bullish engulfing
0.008005,1.111111,0.007205,57,5|4|4|1|3|5,one white soldier
0.008002,1.115385,0.007174,55,6|6|5|1|2|4,bullish harami
0.007998,1.590909,0.005027,57,1|3|4|4|3|7,bullish engulfing
0.007991,1.000000,0.007991,42,4|4|4|3|2|6,bullish engulfing
0.007987,1.500000,0.005325,30,3|5|5|0|1|5,one white soldier
0.007984,1.400000,0.005703,36,6|7|6|1|2|5,bullish harami
0.007983,1.250000,0.006386,54,0|1|3|2|2|6,bullish engulfing
0.007983,1.785714,0.004470,39,2|4|5|4|5|7,one white soldier
0.007979,1.270270,0.006282,84,1|2|2|0|0|6,one white soldier
0.007978,1.500000,0.005319,50,9|7|6|0|1|4,bullish harami
0.007975,1.125000,0.007089,34,2|4|4|3|2|5,bullish engulfing
0.007963,1.533333,0.005193,38,3|4|5|4|2|6,bullish engulfing
0.007961,1.727273,0.004609,30,6|3|4|0|0|3,bullish harami
0.007958,1.294118,0.006149,39,3|5|5|1|2|8,one white soldier
0.007953,1.217391,0.006533,51,4|2|2|1|0|4,bullish engulfing
0.007939,1.176471,0.006748,37,1|4|4|1|1|7,bullish engulfing
0.007934,1.666667,0.004761,32,3|5|5|3|3|6,bullish engulfing
0.007934,1.285714,0.006171,32,6|3|1|1|0|1,bullish engulfing
0.007928,1.583333,0.005007,31,8|4|4|3|2|4,bullish engulfing
0.007928,2.090909,0.003791,34,8|7|7|2|2|2,bullish harami
0.007919,1.186046,0.006677,94,5|4|4|1|1|5,bullish engulfing
0.007918,1.176471,0.006731,37,8|4|5|1|2|6,one white soldier
0.007915,1.545455,0.005122,56,6|4|4|3|2|5,bullish engulfing
0.007909,1.428571,0.005536,34,6|5|5|2|2|5,bullish harami
0.007904,1.250000,0.006323,36,3|3|3|1|0|5,bullish engulfing
0.007898,1.400000,0.005642,36,2|5|5|1|0|6,bullish engulfing
0.007876,1.520000,0.005181,63,2|5|5|0|1|3,bullish harami
0.007868,1.062500,0.007405,33,7|4|5|2|2|4,bullish harami
0.007862,1.176471,0.006683,37,6|2|4|2|3|5,one white soldier
0.007862,1.166667,0.006739,39,0|6|5|2|3|3,bullish harami
0.007847,1.450000,0.005412,49,1|6|6|3|4|5,bullish harami
0.007845,1.238095,0.006336,47,4|5|6|4|5|8,one white soldier
0.007842,1.466667,0.005347,37,3|4|6|1|2|3,bullish harami
0.007837,1.450000,0.005405,49,3|4|4|3|3|5,one white soldier
0.007831,1.250000,0.006265,45,5|3|2|2|1|4,bullish engulfing
0.007830,1.125000,0.006960,51,3|4|4|0|1|5,one white soldier
0.007819,1.357143,0.005762,99,6|3|3|2|1|6,bullish engulfing
0.007817,1.285714,0.006080,32,3|4|3|0|1|6,one white soldier
0.007814,1.250000,0.006252,36,6|7|6|2|3|3,bullish harami
0.007807,1.600000,0.004880,52,3|5|5|0|1|6,one white soldier
0.007797,1.200000,0.006498,55,0|6|5|5|4|6,bullish engulfing
0.007788,1.083333,0.007189,75,9|7|7|3|4|5,bullish harami
0.007788,1.277778,0.006095,41,6|5|4|1|1|3,bullish harami
0.007786,1.428571,0.005450,34,0|4|4|1|3|3,bullish harami
0.007785,1.304348,0.005969,53,0|5|6|5|4|8,bullish engulfing
0.007784,1.428571,0.005449,34,6|4|5|3|2|6,bullish engulfing
0.007779,1.538462,0.005056,33,9|4|3|1|1|4,bullish engulfing
0.007777,1.526316,0.005095,48,6|3|4|2|2|4,bullish engulfing
0.007775,1.190476,0.006531,46,4|3|4|3|3|7,one white soldier
0.007772,1.733333,0.004484,41,5|4|2|0|1|6,one white soldier
0.007767,1.125000,0.006904,34,5|2|3|1|0|7,bullish engulfing
0.007764,1.083333,0.007167,50,8|7|5|2|2|3,bullish harami
0.007761,1.571429,0.004939,54,8|7|6|2|3|4,bullish harami
0.007752,1.357143,0.005712,33,9|4|4|0|1|7,one white soldier
0.007752,1.285714,0.006029,32,7|2|1|1|0|4,bullish engulfing
0.007752,1.538462,0.005039,33,6|3|4|1|3|6,one white soldier
0.007742,1.461538,0.005297,32,1|3|5|3|2|7,bullish engulfing
0.007740,1.200000,0.006450,33,1|5|6|6|5|7,bullish engulfing
0.007739,1.136364,0.006810,47,5|4|4|0|1|6,one white soldier
0.007737,1.428571,0.005416,51,3|1|2|1|0|3,bullish engulfing
0.007730,1.666667,0.004638,40,4|4|5|2|2|3,bullish harami
0.007728,1.166667,0.006624,39,0|2|1|0|1|7,one white soldier
0.007717,1.782609,0.004329,64,6|5|3|0|1|2,bullish harami
0.007714,1.400000,0.005510,72,9|6|6|0|0|2,bullish harami
0.007712,1.111111,0.006941,38,7|6|6|0|0|3,bullish harami
0.007707,1.074074,0.007176,56,5|2|3|2|1|5,bullish engulfing
0.007705,1.266667,0.006083,34,5|7|5|0|1|2,bullish harami
0.007694,1.000000,0.007694,88,2|1|2|1|1|5,one white soldier
0.007691,1.320000,0.005827,58,1|4|4|4|3|5,bullish engulfing
0.007684,1.190476,0.006455,46,4|5|5|3|3|7,one white soldier
0.007681,1.666667,0.004608,48,3|5|6|1|1|2,bullish harami
0.007675,1.714286,0.004477,38,2|3|3|2|1|8,bullish engulfing
0.007675,1.071429,0.007163,58,0|2|3|2|3|8,one white soldier
0.007675,1.533333,0.005005,38,4|4|3|0|1|6,one white soldier
0.007672,1.461538,0.005249,32,2|4|6|2|2|3,bullish harami
0.007672,1.200000,0.006393,44,8|6|5|2|3|5,bullish harami
0.007669,1.250000,0.006135,45,3|2|1|1|1|6,one white soldier
0.007664,2.444444,0.003135,31,7|6|5|1|2|7,one white soldier
0.007661,1.000000,0.007661,50,4|3|3|1|0|9,bullish engulfing
0.007659,1.468750,0.005215,79,4|4|4|2|1|8,bullish engulfing
0.007659,1.222222,0.006266,40,8|6|6|3|2|7,bullish engulfing
0.007658,1.631579,0.004694,50,5|5|5|3|2|6,bullish engulfing
0.007656,1.470588,0.005206,84,9|6|5|2|2|3,bullish harami
0.007649,1.260870,0.006066,52,3|4|4|1|3|5,one white soldier
0.007648,1.357143,0.005635,33,0|5|6|3|4|10,one white soldier
0.007643,1.600000,0.004777,39,1|2|3|0|2|7,one white soldier
0.007641,1.375000,0.005557,38,8|3|4|1|2|6,one white soldier
0.007636,1.071429,0.007127,87,3|2|2|0|1|6,one white soldier
0.007635,1.823529,0.004187,48,5|6|6|3|3|4,bullish harami
0.007634,1.333333,0.005726,42,0|5|6|5|5|7,one white soldier
0.007631,1.076923,0.007086,54,0|6|6|5|5|8,bullish engulfing
0.007620,1.000000,0.007620,36,6|1|2|0|0|2,one white soldier
0.007619,1.294118,0.005887,39,9|7|6|2|2|5,bullish harami
0.007613,1.428571,0.005329,34,0|7|6|4|5|7,one white soldier
0.007607,1.130435,0.006729,49,4|4|4|3|3|5,bullish engulfing
0.007603,1.000000,0.007603,38,2|4|5|3|4|9,one white soldier
0.007602,1.176471,0.006462,37,7|3|3|3|2|3,bullish engulfing
0.007601,1.206349,0.006301,139,6|4|4|1|2|2,bullish harami
0.007600,1.111111,0.006840,38,6|5|3|1|1|4,bullish engulfing
0.007599,1.142857,0.006649,105,6|4|4|0|0|0,bullish harami
0.007593,1.307692,0.005806,30,7|2|2|1|1|4,bullish engulfing
0.007588,1.055556,0.007189,37,8|6|6|3|4|6,bullish harami
0.007588,1.500000,0.005059,35,1|0|2|1|0|6,bullish engulfing
0.007586,1.750000,0.004335,33,0|3|3|0|0|6,one white soldier
0.007582,1.615385,0.004694,34,7|5|3|1|0|5,bullish engulfing
0.007579,1.312500,0.005774,37,9|5|5|3|3|6,bullish engulfing
0.007573,1.428571,0.005301,51,7|5|4|4|3|5,bullish engulfing
0.007565,1.375000,0.005502,38,3|2|3|2|2|4,one white soldier
0.007565,1.600000,0.004728,39,1|4|5|2|4|7,one white soldier
0.007560,1.750000,0.004320,33,9|9|9|1|1|2,bullish harami
0.007555,1.500000,0.005036,55,2|2|2|1|0|2,bullish engulfing
0.007547,1.000000,0.007547,36,5|5|5|4|5|6,one white soldier
0.007541,1.611111,0.004681,47,6|4|5|2|3|4,bullish harami
0.007541,1.034483,0.007290,59,9|7|7|1|1|3,bullish harami
0.007529,1.241379,0.006065,65,0|3|3|0|1|7,one white soldier
0.007522,1.500000,0.005014,30,1|2|2|1|1|6,one white soldier
0.007519,1.307692,0.005750,30,2|2|2|1|1|10,one white soldier
0.007509,1.300000,0.005776,46,7|3|2|2|0|3,bullish engulfing
0.007509,1.470588,0.005106,42,2|2|4|2|2|6,one white soldier
0.007508,1.405405,0.005342,89,0|6|7|5|6|8,one white soldier
0.007505,1.307692,0.005739,30,2|2|4|1|2|7,one white soldier
0.007503,1.470588,0.005102,42,0|4|6|4|4|5,bullish harami
0.007502,1.400000,0.005358,48,9|3|3|1|1|5,one white soldier
0.007484,1.562500,0.004790,41,8|7|7|1|1|2,bullish harami
0.007476,1.350000,0.005538,47,2|4|3|2|3|6,one white soldier
0.007474,1.274194,0.005866,141,5|3|3|0|1|2,bullish harami
0.007473,1.222222,0.006114,40,6|6|6|4|4|5,bullish harami
0.007472,1.241379,0.006019,65,6|3|2|0|0|2,bullish engulfing
0.007469,1.470588,0.005079,42,7|5|5|3|4|4,bullish harami
0.007465,1.263158,0.005909,43,7|6|6|1|3|4,bullish harami
0.007463,1.520000,0.004910,63,4|3|3|0|0|6,bullish engulfing
0.007463,1.473684,0.005064,47,6|5|4|2|3|8,one white soldier
0.007456,1.478261,0.005044,57,0|2|3|2|2|5,one white soldier
0.007456,1.571429,0.004745,36,2|3|3|2|1|6,bullish engulfing
0.007453,1.133333,0.006576,32,8|8|5|0|1|2,bullish harami
0.007450,1.333333,0.005587,35,0|3|6|5|4|7,bullish engulfing
0.007441,1.142857,0.006511,30,4|4|6|2|3|4,bullish harami
0.007431,1.411765,0.005264,82,7|6|5|0|1|3,bullish harami
0.007430,1.142857,0.006501,30,0|3|5|4|4|4,bullish harami
0.007427,1.692308,0.004389,35,9|3|2|0|1|5,one white soldier
0.007427,1.096774,0.006772,65,5|1|1|0|0|2,bullish engulfing
0.007427,1.448276,0.005128,71,5|3|2|1|0|6,bullish engulfing
0.007421,1.500000,0.004947,30,3|4|3|2|0|7,bullish engulfing
0.007420,1.142857,0.006492,30,3|3|4|3|3|7,one white soldier
0.007418,1.809524,0.004099,59,0|1|2|2|1|7,bullish engulfing
0.007413,1.062500,0.006977,33,1|5|6|4|4|7,one white soldier
0.007410,1.438596,0.005151,139,2|4|4|3|2|6,bullish engulfing
0.007408,1.500000,0.004939,30,6|6|6|2|2|5,bullish harami
0.007407,1.333333,0.005555,35,0|5|5|2|4|9,one white soldier
0.007406,1.200000,0.006172,33,2|4|3|0|2|5,one white soldier
0.007406,1.225806,0.006041,69,4|2|3|1|0|6,bullish engulfing
0.007404,1.692308,0.004375,35,6|4|4|1|0|8,bullish engulfing
0.007400,1.396552,0.005299,139,8|5|5|0|0|2,bullish harami
0.007399,1.500000,0.004933,40,9|6|6|0|1|7,one white soldier
0.007393,1.500000,0.004929,30,8|8|7|1|1|2,bullish harami
0.007389,1.411765,0.005234,41,1|5|5|4|3|5,bullish engulfing
0.007385,1.222222,0.006042,40,2|3|3|3|3|7,bullish engulfing
0.007381,1.687500,0.004374,43,1|3|4|1|0|5,bullish engulfing
0.007380,1.285714,0.005740,48,7|5|5|3|2|5,bullish engulfing
0.007374,1.250000,0.005899,36,9|4|4|3|2|5,bullish engulfing
0.007370,1.135135,0.006493,79,8|5|6|0|1|2,bullish harami
0.007370,1.000000,0.007370,64,4|4|3|2|3|5,one white soldier
0.007359,1.583333,0.004648,31,5|2|3|2|3|7,one white soldier
0.007356,1.133333,0.006490,32,3|4|5|1|2|6,one white soldier
0.007355,1.083333,0.006789,75,2|1|2|1|1|7,one white soldier
0.007355,1.222222,0.006018,40,4|3|2|1|0|2,bullish engulfing
0.007349,1.727273,0.004255,30,3|3|3|2|2|3,bullish harami
0.007333,1.571429,0.004667,36,2|6|6|4|5|8,one white soldier
0.007331,1.428571,0.005132,34,9|6|5|3|4|4,bullish harami
0.007329,1.391304,0.005268,55,9|7|7|2|3|3,bullish harami
0.007327,1.647059,0.004449,45,2|3|4|3|3|5,one white soldier
0.007326,1.040000,0.007044,51,0|6|6|5|5|6,bullish engulfing
0.007321,1.400000,0.005229,48,10|6|6|0|0|2,bullish harami
0.007318,1.384615,0.005285,31,0|6|6|3|3|7,bullish engulfing
0.007318,1.857143,0.003940,40,2|4|4|4|4|6,bullish engulfing
0.007316,1.190476,0.006145,46,8|8|8|2|3|4,bullish harami
0.007311,1.173913,0.006228,50,7|7|7|3|4|5,bullish harami
0.007297,1.541667,0.004733,61,4|3|3|2|2|4,bullish engulfing
0.007296,1.266667,0.005760,34,4|5|4|3|2|6,bullish engulfing
0.007288,1.200000,0.006073,44,9|7|5|1|2|4,bullish harami
0.007287,1.615385,0.004511,34,8|2|1|0|1|2,one white soldier
0.007285,1.181818,0.006164,48,3|6|6|1|2|2,bullish harami
0.007270,1.550000,0.004690,51,7|2|2|1|2|2,one white soldier
0.007270,1.173913,0.006193,50,3|1|1|0|1|7,one white soldier
0.007259,1.444444,0.005025,66,4|4|3|3|2|4,bullish engulfing
0.007255,1.133333,0.006402,32,5|4|5|2|3|5,one white soldier
0.007252,1.075472,0.006743,110,0|6|6|5|5|7,one white soldier
0.007252,1.351351,0.005366,87,5|3|3|1|0|7,bullish engulfing
0.007250,1.291667,0.005613,55,8|7|7|0|0|2,bullish harami
0.007249,1.800000,0.004027,42,5|5|3|2|2|4,one white soldier
0.007248,1.190476,0.006088,46,0|1|3|2|3|5,one white soldier
0.007247,1.133333,0.006395,64,5|5|5|0|2|3,bullish harami
0.007246,1.583333,0.004576,31,7|2|2|1|1|7,one white soldier
0.007232,1.705882,0.004239,46,9|4|4|3|4|6,one white soldier
0.007230,1.058824,0.006828,35,1|4|3|3|2|5,bullish engulfing
0.007230,1.384615,0.005221,31,5|5|6|0|2|3,bullish harami
0.007229,1.500000,0.004819,30,1|2|2|1|0|2,bullish engulfing
0.007228,1.047619,0.006900,86,5|4|3|1|0|5,bullish engulfing
0.007226,1.022222,0.007069,91,6|5|5|0|0|1,bullish harami
0.007222,1.090909,0.006620,46,0|6|6|5|5|6,bullish engulfing
0.007218,1.200000,0.006015,44,0|6|6|5|4|6,bullish engulfing
0.007215,1.027027,0.007025,75,1|3|3|1|2|9,one white soldier
0.007215,1.208333,0.005971,53,5|2|2|1|1|6,bullish engulfing
0.007214,1.000000,0.007214,40,4|4|4|0|1|3,bullish harami
0.007213,1.842105,0.003916,54,3|2|2|0|0|3,bullish engulfing
0.007206,1.200000,0.006005,33,2|3|3|2|0|8,bullish engulfing
0.007204,2.333333,0.003088,30,8|6|5|1|2|7,one white soldier
0.007203,1.461538,0.004928,32,6|4|4|2|0|6,bullish engulfing
0.007200,1.461538,0.004926,32,3|3|3|2|2|6,bullish engulfing
0.007198,1.687500,0.004266,43,3|3|3|1|2|2,bullish harami
0.007197,1.348837,0.005336,101,5|4|4|3|3|5,bullish engulfing
0.007195,1.210526,0.005944,42,4|7|6|1|2|4,bullish harami
0.007193,1.285714,0.005594,32,5|4|4|1|0|8,bullish engulfing
0.007191,1.105263,0.006506,40,0|3|2|1|0|4,bullish engulfing
0.007190,1.142857,0.006292,75,8|5|5|2|1|6,bullish engulfing
0.007187,1.133333,0.006342,32,0|3|2|0|1|8,one white soldier
0.007186,1.033333,0.006954,61,6|7|6|0|1|2,bullish harami
0.007183,1.142857,0.006285,30,1|2|5|4|4|7,one white soldier
0.007182,1.172414,0.006126,63,7|4|4|0|1|1,bullish harami
0.007182,1.619048,0.004436,55,1|3|3|0|1|8,one white soldier
0.007177,1.266667,0.005666,34,5|3|3|3|2|8,bullish engulfing
0.007174,1.200000,0.005978,33,2|4|4|1|0|8,bullish engulfing
0.007172,1.323529,0.005419,79,8|6|6|0|2|3,bullish harami
0.007172,1.400000,0.005123,48,0|4|3|2|2|5,one white soldier
0.007169,1.400000,0.005120,36,4|3|2|0|1|2,one white soldier
0.007166,1.157895,0.006189,41,9|2|2|1|0|4,bullish engulfing
0.007162,1.266667,0.005654,34,0|2|3|2|1|3,bullish engulfing
0.007151,2.000000,0.003575,30,0|6|6|5|6|8,one white soldier
0.007148,1.750000,0.004084,33,0|4|4|1|1|6,bullish engulfing
0.007147,1.529412,0.004673,43,1|4|3|2|3|7,one white soldier
0.007147,1.647059,0.004339,45,6|5|4|1|3|5,one white soldier
0.007146,1.105263,0.006465,40,3|5|4|1|2|6,one white soldier
0.007146,1.555556,0.004594,46,9|5|4|2|3|3,bullish harami
0.007145,1.333333,0.005359,35,2|4|3|2|2|7,bullish engulfing
0.007145,1.714286,0.004168,38,6|6|6|1|3|5,bullish harami
0.007139,1.062500,0.006719,33,4|4|3|0|0|5,bullish engulfing
0.007136,1.063830,0.006708,97,2|2|2|1|1|3,one white soldier
0.007135,1.307692,0.005456,30,4|4|3|3|0|6,bullish engulfing
0.007131,1.769231,0.004030,36,2|6|6|4|5|8,one white soldier
0.007131,1.333333,0.005348,35,3|2|3|2|2|3,one white soldier
0.007130,1.285714,0.005545,32,1|2|2|1|0|4,bullish engulfing
0.007121,1.000000,0.007121,34,4|4|2|0|1|5,one white soldier
0.007119,1.357143,0.005246,66,1|4|4|4|4|6,bullish engulfing
0.007119,1.222222,0.005825,40,5|4|3|0|0|1,bullish harami
0.007106,1.428571,0.004974,34,10|4|3|0|1|5,one white soldier
0.007103,1.000000,0.007103,34,10|3|3|0|1|6,one white soldier
0.007103,2.000000,0.003551,45,4|5|4|3|4|6,one white soldier
0.007102,1.444444,0.004917,44,2|1|3|1|2|7,one white soldier
0.007099,1.133333,0.006264,32,1|6|5|3|4|7,one white soldier
0.007096,1.350000,0.005256,47,6|4|4|1|1|4,bullish harami
0.007093,1.090909,0.006501,46,1|1|1|0|1|2,one white soldier
0.007088,1.411765,0.005021,41,1|2|3|2|1|5,bullish engulfing
0.007085,1.142857,0.006199,45,2|5|6|5|4|7,bullish engulfing
0.007084,1.041667,0.006800,49,4|2|4|2|3|6,one white soldier
0.007084,1.400000,0.005060,36,3|3|3|0|2|6,one white soldier
0.007081,1.117647,0.006335,36,9|8|7|0|0|1,bullish harami
0.007078,1.320000,0.005362,58,7|7|6|1|1|2,bullish harami
0.007076,2.285714,0.003096,46,7|7|7|0|1|2,bullish harami
0.007069,1.470588,0.004807,42,9|6|6|3|4|4,bullish harami
0.007068,1.125000,0.006283,34,2|5|6|0|1|3,bullish harami
0.007062,1.500000,0.004708,40,3|6|6|1|1|3,bullish harami
0.007062,1.294118,0.005457,39,4|3|3|0|0|2,bullish harami
