MP,G|R,AverageProfit,Occurences,Pattern,Type
0.014554,1.384615,0.010511,31,8|5|5|1|2|7,one white soldier
0.014540,1.357143,0.010713,33,5|3|4|3|3|6,bullish engulfing
0.014522,1.277778,0.011365,82,4|3|3|2|1|4,bullish engulfing
0.014484,1.142857,0.012674,30,5|3|5|1|2|4,bullish harami
0.014470,1.928571,0.007503,41,2|5|5|0|1|3,bullish harami
0.014463,2.250000,0.006428,39,3|4|3|2|3|6,one white soldier
0.014463,1.500000,0.009642,50,6|2|2|0|1|2,bullish harami
0.014450,2.200000,0.006568,32,5|4|5|3|3|7,bullish engulfing
0.014387,1.846154,0.007793,37,5|4|2|1|1|4,one white soldier
0.014357,1.764706,0.008136,47,1|2|2|0|0|5,bullish engulfing
0.014349,1.909091,0.007516,32,5|6|6|4|5|9,one white soldier
0.014299,1.473684,0.009703,47,2|3|3|2|1|9,bullish engulfing
0.014258,1.000000,0.014258,36,6|5|5|2|4|6,one white soldier
0.014251,1.461538,0.009751,32,7|3|3|1|1|1,bullish harami
0.014234,1.307692,0.010885,30,4|3|4|1|1|5,bullish engulfing
0.014221,1.375000,0.010343,57,5|3|2|1|1|5,one white soldier
0.014216,2.230769,0.006373,42,2|5|5|2|2|6,one white soldier
0.014185,1.409091,0.010067,53,5|2|2|0|0|2,one white soldier
0.014164,1.214286,0.011665,31,5|3|3|2|3|4,one white soldier
0.014150,2.045455,0.006918,67,0|5|5|3|4|4,bullish harami
0.014142,1.428571,0.009900,34,7|4|3|2|1|7,bullish engulfing
0.014136,1.642857,0.008604,37,5|3|3|1|1|2,bullish harami
0.014135,1.312500,0.010770,37,1|2|1|1|1|6,bullish engulfing
0.014130,1.500000,0.009420,30,7|7|7|3|3|4,bullish harami
0.014120,1.909091,0.007396,32,5|3|3|3|3|6,one white soldier
0.014046,1.818182,0.007725,31,6|6|6|1|1|5,bullish harami
0.013981,1.307692,0.010692,30,0|5|7|5|6|6,bullish harami
0.013980,1.312500,0.010651,37,6|6|6|1|3|4,bullish harami
0.013955,1.846154,0.007559,37,4|7|7|1|2|3,bullish harami
0.013950,1.666667,0.008370,72,5|4|4|0|0|2,bullish harami
0.013945,1.235294,0.011289,38,7|5|5|0|3|4,bullish harami
0.013912,2.000000,0.006956,39,0|1|2|1|1|5,bullish engulfing
0.013898,1.592593,0.008727,70,5|5|5|0|0|4,bullish harami
0.013823,2.000000,0.006912,39,0|7|7|5|4|9,bullish engulfing
0.013785,1.687500,0.008169,43,8|4|3|0|1|2,bullish harami
0.013783,1.538462,0.008959,33,1|5|4|1|2|5,one white soldier
0.013765,1.789474,0.007692,53,1|3|3|1|1|4,one white soldier
0.013758,2.062500,0.006670,49,2|3|3|0|1|5,one white soldier
0.013752,1.000000,0.013752,34,0|4|4|4|4|7,bullish engulfing
0.013726,1.400000,0.009804,36,6|3|2|1|0|2,bullish engulfing
0.013726,1.583333,0.008669,31,5|4|4|0|1|6,one white soldier
0.013644,2.000000,0.006822,51,3|3|2|1|1|5,one white soldier
0.013640,1.615385,0.008444,34,2|3|2|0|1|8,one white soldier
0.013619,1.450000,0.009393,49,7|3|2|1|1|5,bullish engulfing
0.013599,1.500000,0.009066,35,5|2|3|2|2|6,one white soldier
0.013595,1.187500,0.011449,35,1|4|5|2|1|6,bullish engulfing
0.013587,2.000000,0.006794,60,0|5|5|4|5|8,one white soldier
0.013579,2.083333,0.006518,74,5|6|5|0|1|4,bullish harami
