Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,15.535,15.783,15.157,15.461,8358,0
2017-09-05,17:00:00,15.435,15.485,15.287,15.287,1814,0
2017-09-05,18:00:00,15.287,15.336,15.237,15.237,2015,0
2017-09-05,19:00:00,15.237,15.237,14.964,15.137,3022,0
2017-09-05,20:00:00,15.093,15.137,14.889,14.939,4939,0
2017-09-05,21:00:00,14.973,15.088,14.939,15.088,6045,0
2017-09-05,22:00:00,15.039,15.237,15.039,15.137,8340,0
2017-09-06,16:00:00,15.187,15.348,15.182,15.348,2943,0
2017-09-06,17:00:00,15.385,15.385,15.137,15.137,4230,0
2017-09-06,18:00:00,15.137,15.137,14.989,15.039,706,0
2017-09-06,19:00:00,14.989,15.039,14.839,14.839,1850,0
2017-09-06,20:00:00,14.839,15.088,14.839,15.088,2418,0
2017-09-06,21:00:00,15.088,15.088,14.791,14.839,2614,0
2017-09-06,22:00:00,14.889,14.889,14.691,14.839,10472,0
2017-09-07,16:00:00,14.791,14.791,14.691,14.741,708,0
2017-09-07,17:00:00,14.791,14.914,14.759,14.889,11388,0
2017-09-07,18:00:00,14.889,14.889,14.839,14.864,1310,0
2017-09-07,19:00:00,14.864,14.889,14.839,14.839,2418,0
2017-09-07,20:00:00,14.839,14.864,14.542,14.616,7986,0
2017-09-07,21:00:00,14.616,14.651,14.542,14.591,4153,0
2017-09-07,22:00:00,14.641,14.641,14.145,14.343,35801,0
2017-09-08,16:00:00,14.245,14.443,14.195,14.443,2125,0
2017-09-08,17:00:00,14.591,14.839,14.493,14.791,5464,0
2017-09-08,18:00:00,14.839,14.839,14.741,14.741,906,0
2017-09-08,19:00:00,14.839,14.889,14.691,14.889,504,0
2017-09-08,20:00:00,14.839,14.839,14.839,14.839,302,0
2017-09-08,21:00:00,14.839,14.889,14.791,14.889,1712,0
2017-09-08,22:00:00,14.815,15.088,14.741,15.039,14074,0
2017-09-11,16:00:00,15.237,15.287,15.039,15.039,3728,0
2017-09-11,17:00:00,15.088,15.137,14.939,15.063,1814,0
2017-09-11,18:00:00,15.039,15.088,14.989,15.088,1712,0
2017-09-11,19:00:00,14.989,15.051,14.889,14.989,3878,0
2017-09-11,20:00:00,14.989,15.137,14.939,14.939,4433,0
2017-09-11,21:00:00,14.939,14.989,14.889,14.889,1008,0
2017-09-11,22:00:00,14.939,15.039,14.889,14.939,7927,0
2017-09-12,16:00:00,14.889,14.889,14.889,14.889,856,0
2017-09-12,17:00:00,14.914,14.914,14.791,14.839,1859,0
2017-09-12,18:00:00,14.889,14.914,14.839,14.839,1864,0
2017-09-12,19:00:00,14.869,14.889,14.691,14.741,1814,0
2017-09-12,20:00:00,14.741,14.889,14.726,14.889,3701,0
2017-09-12,21:00:00,14.839,14.889,14.791,14.864,1108,0
2017-09-12,22:00:00,14.839,14.879,14.781,14.839,4503,0
2017-09-13,16:00:00,14.791,14.791,14.493,14.691,13831,0
2017-09-13,17:00:00,14.741,14.839,14.741,14.741,2116,0
2017-09-13,18:00:00,14.741,14.791,14.691,14.691,2216,0
2017-09-13,19:00:00,14.741,14.741,14.542,14.542,5041,0
2017-09-13,20:00:00,14.443,14.791,14.443,14.591,15027,0
2017-09-13,21:00:00,14.591,14.691,14.591,14.691,2096,0
2017-09-13,22:00:00,14.641,14.791,14.591,14.641,15008,0
2017-09-14,16:00:00,14.641,14.641,14.493,14.581,302,0
2017-09-14,17:00:00,14.581,15.088,14.581,14.939,30349,0
2017-09-14,18:00:00,14.989,14.989,14.889,14.939,4019,0
2017-09-14,19:00:00,14.939,14.989,14.914,14.964,2518,0
2017-09-14,20:00:00,14.989,14.989,14.939,14.989,1914,0
2017-09-14,21:00:00,14.973,14.989,14.889,14.939,3297,0
2017-09-14,22:00:00,14.914,14.939,14.839,14.839,5605,0
2017-09-15,16:00:00,14.889,14.889,14.741,14.746,17358,0
2017-09-15,17:00:00,14.889,14.889,14.591,14.745,3722,0
2017-09-15,18:00:00,14.766,14.889,14.766,14.839,2116,0
2017-09-15,19:00:00,14.839,14.839,14.741,14.791,2957,0
2017-09-15,20:00:00,14.772,14.839,14.771,14.771,1918,0
2017-09-15,21:00:00,14.839,14.839,14.791,14.791,4720,0
2017-09-15,22:00:00,14.815,15.039,14.815,14.839,42929,0
2017-09-18,16:00:00,14.939,15.287,14.716,15.287,5976,0
2017-09-18,17:00:00,15.137,15.485,15.088,15.287,31348,0
2017-09-18,18:00:00,15.287,15.361,15.287,15.287,10559,0
2017-09-18,19:00:00,15.336,15.336,15.147,15.237,2821,0
2017-09-18,20:00:00,15.187,15.287,15.137,15.251,2609,0
2017-09-18,21:00:00,15.197,15.237,15.187,15.187,1108,0
2017-09-18,22:00:00,15.203,15.237,15.137,15.137,6315,0
2017-09-19,16:00:00,15.137,15.187,15.137,15.187,1511,0
2017-09-19,17:00:00,15.187,15.187,15.039,15.137,2346,0
2017-09-19,18:00:00,15.137,15.137,14.929,14.929,806,0
2017-09-19,19:00:00,14.829,15.187,14.641,15.137,11031,0
2017-09-19,20:00:00,15.137,15.137,14.939,14.939,1319,0
2017-09-19,21:00:00,15.029,15.039,14.939,14.939,1493,0
2017-09-19,22:00:00,14.989,15.039,14.939,14.989,7079,0
2017-09-20,16:00:00,15.039,15.039,14.899,14.899,505,0
2017-09-20,17:00:00,14.889,14.944,14.889,14.889,2317,0
2017-09-20,18:00:00,14.939,14.989,14.889,14.889,837,0
2017-09-20,19:00:00,14.989,14.989,14.929,14.964,604,0
2017-09-20,20:00:00,14.939,14.989,14.889,14.989,2116,0
2017-09-20,21:00:00,14.989,14.989,14.839,14.839,3549,0
2017-09-20,22:00:00,14.889,14.939,14.839,14.939,10302,0
2017-09-21,16:00:00,14.939,14.939,14.839,14.839,2048,0
2017-09-21,17:00:00,14.791,14.843,14.741,14.83,2317,0
2017-09-21,18:00:00,14.889,14.889,14.791,14.791,2149,0
2017-09-21,19:00:00,14.889,14.989,14.889,14.989,3327,0
2017-09-21,20:00:00,14.989,14.989,14.939,14.959,971,0
2017-09-21,21:00:00,14.989,14.989,14.889,14.939,1814,0
2017-09-21,22:00:00,14.989,14.989,14.741,14.741,6291,0
2017-09-22,16:00:00,14.839,14.839,14.839,14.839,167,0
2017-09-22,17:00:00,14.874,14.902,14.839,14.888,806,0
2017-09-22,19:00:00,14.939,15.039,14.939,15.039,2300,0
2017-09-22,20:00:00,15.039,15.039,15.039,15.039,302,0
2017-09-22,21:00:00,15.049,15.088,14.989,14.989,5642,0
2017-09-22,22:00:00,15.088,15.088,14.889,15.088,29358,0
2017-09-25,16:00:00,15.137,15.137,15.029,15.029,5245,0
2017-09-25,17:00:00,15.088,15.137,14.989,14.989,4647,0
2017-09-25,18:00:00,14.989,14.989,14.791,14.939,4533,0
2017-09-25,19:00:00,14.939,14.939,14.839,14.839,806,0
2017-09-25,20:00:00,14.791,15.039,14.616,14.889,25221,0
2017-09-25,21:00:00,14.889,14.889,14.791,14.844,8381,0
2017-09-25,22:00:00,14.889,14.889,14.741,14.791,8876,0
2017-09-26,16:00:00,14.889,15.088,14.889,15.088,2860,0
2017-09-26,17:00:00,15.088,15.112,14.989,15.039,10461,0
2017-09-26,18:00:00,14.989,15.063,14.989,15.039,3963,0
2017-09-26,19:00:00,15.039,15.063,14.989,14.989,8463,0
2017-09-26,20:00:00,15.039,15.132,14.939,15.039,3123,0
2017-09-26,21:00:00,15.039,15.088,14.989,15.039,3784,0
2017-09-26,22:00:00,15.014,15.014,14.839,14.989,8740,0
2017-09-27,16:00:00,15.137,15.336,15.088,15.088,10083,0
2017-09-27,17:00:00,15.088,15.187,15.039,15.137,3755,0
2017-09-27,18:00:00,15.039,15.187,15.039,15.137,2740,0
2017-09-27,19:00:00,15.187,15.455,15.187,15.385,26191,0
2017-09-27,20:00:00,15.385,15.435,15.287,15.385,6145,0
2017-09-27,21:00:00,15.385,15.435,15.287,15.41,13330,0
2017-09-27,22:00:00,15.385,15.535,15.287,15.336,14322,0
2017-09-28,16:00:00,15.336,15.336,15.137,15.137,4809,0
2017-09-28,17:00:00,15.187,15.303,15.187,15.303,1460,0
2017-09-28,18:00:00,15.336,15.783,15.336,15.634,12155,0
2017-09-28,19:00:00,15.609,15.609,15.485,15.58,6411,0
2017-09-28,20:00:00,15.585,15.693,15.585,15.693,4869,0
2017-09-28,21:00:00,15.733,15.733,15.634,15.634,5440,0
2017-09-28,22:00:00,15.585,15.634,15.435,15.485,7473,0
2017-09-29,16:00:00,15.535,15.566,15.535,15.552,2953,0
2017-09-29,17:00:00,15.515,15.535,15.502,15.51,4392,0
2017-09-29,18:00:00,15.53,15.585,15.485,15.585,6938,0
2017-09-29,19:00:00,15.594,15.634,15.594,15.634,806,0
2017-09-29,20:00:00,15.609,15.609,15.485,15.535,2361,0
2017-09-29,21:00:00,15.494,15.535,15.494,15.535,1108,0
2017-09-29,22:00:00,15.585,15.585,15.336,15.385,7207,0
2017-10-02,16:00:00,15.535,15.535,15.287,15.51,2713,0
2017-10-02,17:00:00,15.485,15.683,15.485,15.634,6009,0
2017-10-02,18:00:00,15.585,15.585,15.435,15.585,4007,0
2017-10-02,19:00:00,15.535,15.882,15.535,15.783,45403,0
2017-10-02,20:00:00,15.882,15.882,15.758,15.783,3909,0
2017-10-02,21:00:00,15.788,15.882,15.783,15.783,5087,0
2017-10-02,22:00:00,15.833,16.081,15.783,16.031,14039,0
2017-10-03,16:00:00,16.13,16.627,16.081,16.577,21726,0
2017-10-03,17:00:00,16.577,17.272,16.389,16.577,44823,0
2017-10-03,18:00:00,16.627,16.676,16.477,16.552,3603,0
2017-10-03,19:00:00,16.428,16.527,16.389,16.484,6187,0
2017-10-03,20:00:00,16.527,16.627,16.502,16.627,2116,0
2017-10-03,21:00:00,16.584,16.726,16.527,16.676,8734,0
2017-10-03,22:00:00,16.627,16.875,16.627,16.825,30084,0
2017-10-04,16:00:00,16.825,17.023,16.428,16.915,10437,0
2017-10-04,17:00:00,16.815,16.875,16.627,16.627,6503,0
2017-10-04,18:00:00,16.676,16.775,16.676,16.775,1169,0
